"","districts_included","cluster","map","value"
"323",101,"Mecklenburg","R_voteshare_basemap",0.257
"324",102,"Mecklenburg","R_voteshare_basemap",0.203
"325",103,"Mecklenburg","R_voteshare_basemap",0.475
"326",104,"Mecklenburg","R_voteshare_basemap",0.48
"327",105,"Mecklenburg","R_voteshare_basemap",0.45
"328",106,"Mecklenburg","R_voteshare_basemap",0.203
"329",107,"Mecklenburg","R_voteshare_basemap",0.299
"330",108,"Cleveland-Gaston","R_voteshare_basemap",0.59
"331",109,"Cleveland-Gaston","R_voteshare_basemap",0.627
"332",110,"Cleveland-Gaston","R_voteshare_basemap",0.612
"333",111,"Cleveland-Gaston","R_voteshare_basemap",0.725
"334",114,"Buncombe","R_voteshare_basemap",0.43
"335",115,"Buncombe","R_voteshare_basemap",0.419
"336",116,"Buncombe","R_voteshare_basemap",0.439
"337",4,"Duplin-Onslow","wins_pred_2018",0.64
"338",7,"Franklin-Nash","wins_pred_2018",0.578
"339",8,"Lenoir-Pitt","wins_pred_2018",0.655
"340",9,"Lenoir-Pitt","wins_pred_2018",0.558
"341",12,"Lenoir-Pitt","wins_pred_2018",0.521
"342",14,"Duplin-Onslow","wins_pred_2018",0.621
"343",15,"Duplin-Onslow","wins_pred_2018",0.676
"344",16,"Columbus-Pender-Robeson","wins_pred_2018",0.608
"345",17,"Brunswick-New Hanover","wins_pred_2018",0.657
"346",18,"Brunswick-New Hanover","wins_pred_2018",0.577
"347",19,"Brunswick-New Hanover","wins_pred_2018",0.577
"348",20,"Brunswick-New Hanover","wins_pred_2018",0.575
"349",25,"Franklin-Nash","wins_pred_2018",0.538
"350",42,"Cumberland","wins_pred_2018",0.71
"351",43,"Cumberland","wins_pred_2018",0.695
"352",44,"Cumberland","wins_pred_2018",0.535
"353",45,"Cumberland","wins_pred_2018",0.585
"354",46,"Columbus-Pender-Robeson","wins_pred_2018",0.624
"355",47,"Columbus-Pender-Robeson","wins_pred_2018",0.533
"356",55,"Anson-Union","wins_pred_2018",0.634
"357",58,"Guildford","wins_pred_2018",0.728
"358",59,"Guildford","wins_pred_2018",0.589
"359",60,"Guildford","wins_pred_2018",0.674
"360",63,"Alamance","wins_pred_2018",0.543
"361",64,"Alamance","wins_pred_2018",0.568
"362",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_pred_2018",0.731
"363",68,"Anson-Union","wins_pred_2018",0.601
"364",69,"Anson-Union","wins_pred_2018",0.62
"365",71,"Forsyth-Yadkin","wins_pred_2018",0.7
"366",72,"Forsyth-Yadkin","wins_pred_2018",0.76
"367",73,"Forsyth-Yadkin","wins_pred_2018",0.663
"368",74,"Forsyth-Yadkin","wins_pred_2018",0.577
"369",75,"Forsyth-Yadkin","wins_pred_2018",0.563
"370",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_pred_2018",0.619
"371",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_pred_2018",0.721
"372",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_pred_2018",0.573
"373",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_pred_2018",0.581
"374",88,"Mecklenburg","wins_pred_2018",0.722
"375",92,"Mecklenburg","wins_pred_2018",0.663
"376",98,"Mecklenburg","wins_pred_2018",0.542
"377",99,"Mecklenburg","wins_pred_2018",0.772
"378",100,"Mecklenburg","wins_pred_2018",0.673
"379",101,"Mecklenburg","wins_pred_2018",0.742
"380",102,"Mecklenburg","wins_pred_2018",0.795
"381",103,"Mecklenburg","wins_pred_2018",0.544
"382",104,"Mecklenburg","wins_pred_2018",0.528
"383",105,"Mecklenburg","wins_pred_2018",0.501
"384",106,"Mecklenburg","wins_pred_2018",0.739
"385",107,"Mecklenburg","wins_pred_2018",0.752
"386",108,"Cleveland-Gaston","wins_pred_2018",0.616
"387",109,"Cleveland-Gaston","wins_pred_2018",0.597
"388",110,"Cleveland-Gaston","wins_pred_2018",0.663
"389",111,"Cleveland-Gaston","wins_pred_2018",0.675
"390",114,"Buncombe","wins_pred_2018",0.737
"391",115,"Buncombe","wins_pred_2018",0.511
"392",116,"Buncombe","wins_pred_2018",0.547
"393",4,"Duplin-Onslow","D_voteshare_pred_2018",0.36
"394",7,"Franklin-Nash","D_voteshare_pred_2018",0.422
"395",8,"Lenoir-Pitt","D_voteshare_pred_2018",0.655
"396",9,"Lenoir-Pitt","D_voteshare_pred_2018",0.442
"397",12,"Lenoir-Pitt","D_voteshare_pred_2018",0.479
"398",14,"Duplin-Onslow","D_voteshare_pred_2018",0.379
"399",15,"Duplin-Onslow","D_voteshare_pred_2018",0.324
"400",16,"Columbus-Pender-Robeson","D_voteshare_pred_2018",0.392
"401",17,"Brunswick-New Hanover","D_voteshare_pred_2018",0.343
"402",18,"Brunswick-New Hanover","D_voteshare_pred_2018",0.577
"403",19,"Brunswick-New Hanover","D_voteshare_pred_2018",0.423
"404",20,"Brunswick-New Hanover","D_voteshare_pred_2018",0.425
"405",25,"Franklin-Nash","D_voteshare_pred_2018",0.538
"406",42,"Cumberland","D_voteshare_pred_2018",0.71
"407",43,"Cumberland","D_voteshare_pred_2018",0.695
"408",44,"Cumberland","D_voteshare_pred_2018",0.535
"409",45,"Cumberland","D_voteshare_pred_2018",0.415
"410",46,"Columbus-Pender-Robeson","D_voteshare_pred_2018",0.376
"411",47,"Columbus-Pender-Robeson","D_voteshare_pred_2018",0.533
"412",55,"Anson-Union","D_voteshare_pred_2018",0.366
"413",58,"Guildford","D_voteshare_pred_2018",0.728
"414",59,"Guildford","D_voteshare_pred_2018",0.411
"415",60,"Guildford","D_voteshare_pred_2018",0.674
"416",63,"Alamance","D_voteshare_pred_2018",0.457
"417",64,"Alamance","D_voteshare_pred_2018",0.432
